ID;SKU;Name;Published;Short description;description;In stock?;Stock;Categories
931;MSH08;Orestes Fitness Short;1;This is a variable product called a Orestes Fitness Short;"You're out of excuses not to run, lift, or play when you own a pair of the Orestes Fitness Short. You won't complain about the high-performance polyester wicking fabric, reflective safety trim or seamless built-in comfort brief, either.
 Black shorts with dark gray accents. Elasticized waistband with interior drawstring. Ventilating mesh detailing. 100% polyester and recycled polyester. Machine wash cold, tumble dry low.";1;35;Clothing>Men>Bottoms>Shorts>Promotions>Men Sale
944;MSH09;Troy Yoga Short;1;This is a variable product called a Troy Yoga Short;"The versatile, all-purpose Troy Yoga Short is knee-lengthed with an elastic waistband with drawstring, making it comfortably flexible. The removable LumaTech wicking liner is also bacteria resistant.
 Navy polyester pinstripe shorts. Woven fabric with moderate stretch. 62% cotton/34% nylon/4% spandex. LumaTech lining.";1;24;Clothing>Men>Bottoms>Shorts>Collections>Performance Fabrics
957;MSH10;Sol Active Short;1;This is a variable product called a Sol Active Short;"You'll let your fear go and push your limits in your new Sol Active Short. Featuring ultra-breathable performance fabric and a flat comfort-fit waistband, the Sol Active Short is perfect for high-intensity circuits or high-heat bikram.
 Light blue jersey shorts with mesh detail. 87% Spandex 13% Lycra. Machine wash cold, tumble dry low. Superior performance fabric. Flat-lock seams.";1;32;Clothing>Men>Bottoms>Shorts>Collections>New Luma Yoga Collection
970;MSH11;Arcadio Gym Short;1;This is a variable product called a Arcadio Gym Short;"The Arcadio Gym short is a basic-looking piece with a lot more than meets the eye: casual-yet-functional relaxed fit, comfortable waistband and adjustable drawstring. Everything you need, plus more.
 Royal blue cotton shorts. Built-in mesh brief.  87% Spandex 13% Lycra. Adjustable drawstring.";1;20;Clothing>Men>Bottoms>Shorts
983;MSH12;Pierce Gym Short;1;This is a variable product called a Pierce Gym Short;"The Pierce Gym Short is similar to our Arcadio Gym Short, but designed with a fitted, tapered look. A flat waistband with an adjustable drawstring adds comfort, with zippered pockets for safe, easy storage.
 Dark red cotton shorts.  87% Supplex, 13% Lycra. Adjustable drawstring waistband. Built-in mesh brief. Machine wash cold, tumble dry low.";1;27;Clothing>Men>Bottoms>Shorts>Promotions>Men Sale
999;WH01;Mona Pullover Hoodlie;1;This is a variable product called a Mona Pullover Hoodlie;Whether you're after energizing activity or eye-catching apparel, the Mona Pullover is what you want. You'll stay warm and look fashionable, wherever you are.   Light green heathered hoodie.   Long-Sleeve, pullover.  Long elliptical hem for extra coverage.  Deep button placket for layering.  Double rib design.  Mid layer, mid weight.  98% Merino Wool / 2% Spandex;1;57;Clothing>Women>Tops>Hoodies & Sweatshirts>Collections>New Luma Yoga Collection>Collections>Erin Recommends
1015;WH02;Hera Pullover Hoodie;1;This is a variable product called a Hera Pullover Hoodie;"Get ready to rule the studio and dominate the yoga mat in the Hera Pullover Hoodie, a cozy yet classy look for any level of yogi.
 Teal with purple stiching. Hoodie pullover. Snug fit.";1;48;Clothing>Women>Tops>Hoodies & Sweatshirts>Promotions>Women Sale
1031;WH03;Autumn Pullie;1;This is a variable product called a Autumn Pullie;"With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.
 Cayenne Short-Sleeve roll neck sweatshirt.  Relaxed fit.  Short-Sleeves.  Machine wash/dry.";1;57;Clothing>Women>Tops>Hoodies & Sweatshirts
1047;WH04;Miko Pullover Hoodie;1;This is a variable product called a Miko Pullover Hoodie;"After quality gym time, put on the Miko Pullover Hoody and keep your body warm. You'll find it's fashionable enough for the streets, but comfy enough to relax in at home.
 Teal two-tone hoodie. Low scoop neckline. Adjustable hood drawstrings. Longer rounded hemline for extra back coverage. Long-Sleeve style.";1;69;Clothing>Women>Tops>Hoodies & Sweatshirts
1063;WH05;Selene Yoga Hoodie;1;This is a variable product called a Selene Yoga Hoodie;"The Selene Yoga Hoodie gets you to and from the studio in semi form-fitted comfort. Snug, sleek contours add fashion to function in this free-moving yoga warm up sweatshirt.
 Ivory heather full zip 3/4 sleeve hoodie. Zip pocket at arm for convenient storage. 24.0"" body length. 89% Polyester / 11% Spandex.";1;42;Clothing>Women>Tops>Hoodies & Sweatshirts
1069;WH06;Daphne Full-Zip Hoodie;1;This is a variable product called a Daphne Full-Zip Hoodie;"The Daphne Hoodie is an attractive yet rugged layering or outer piece, especially for chilly days en route the studio, doing yardwork or enjoying outdoor recreation.
 Purple full zip hoodie with pink accents.  Heather texture. 4-way stretch. Pre-shrunk. Hood lined in vegan Sherpa for added warmth. Ribbed hem on hood and front pouch pocket. 60% Cotton / 40% Polyester.";1;59;Clothing>Women>Tops>Hoodies & Sweatshirts
1085;WH07;Phoebe Zipper Sweatshirt;1;This is a variable product called a Phoebe Zipper Sweatshirt;"A sophisticated layer of warmth awaits you in our full-zip sweatshirt jacket. You'll reach for this one in any season to enjoy its sturdy exterior and plush interior.
 Gray full zip hoodie with yellow detail. Hand-warmer pockets.  Zip MP3 pocket with outlet for earphones wire.  Polyester/cotton.  Washable.";1;59;Clothing>Women>Tops>Hoodies & Sweatshirts>Collections>New Luma Yoga Collection>Collections>Erin Recommends
1101;WH08;Cassia Funnel Sweatshirt;1;This is a variable product called a Cassia Funnel Sweatshirt;"The casual Cassia Funnel Sweatshirt sports front angled pockets and a drawstring stretch funnel hoodie. A cowl front neck pairs with a tagless label at back neck.
 White full zip hoodie with gray detail. 65% Cotton/28% Nylon/7% Spandex. Front slash pockets. Tagless label at back neck.";1;48;Clothing>Women>Tops>Hoodies & Sweatshirts>Promotions>Women Sale>Collections>Performance Fabrics
1117;WH09;Ariel Roll Sleeve Sweatshirt;1;This is a variable product called a Ariel Roll Sleeve Sweatshirt;"Soft, sleek and subtle, the Ariel Roll Sleeve Sweatshirt is a nuanced fitness garment for all occasions. It works equally well as a workout piece or in a casual social setting.
 Purple two-tone lightweight hoodie.  100% cotton. Adjustable roll sleeves for Long-Sleeve or 3/4 sleeve. Casual, comfy piece for running errands or weekend activities.";1;39;Clothing>Women>Tops>Hoodies & Sweatshirts>Collections>Eco Friendly
1133;WH10;Helena Hooded Fleece;1;This is a variable product called a Helena Hooded Fleece;"Wear this hoodie after the gym or before a chilly weather bike ride. Either way, this versatile sweatshirt offers an effortlessly appealing silhouette and a super-comfy fit. Smooth, stretchy fabric creates flattering shape, while the full-zip placket and hood help block gusty winds.
Full zip. Banded cuffs and waist. Front pockets. Machine wash/dry.";1;55;Clothing>Women>Tops>Hoodies & Sweatshirts>Collections>New Luma Yoga Collection
1149;WH11;Eos V-Neck Hoodie;1;This is a variable product called a Eos V-Neck Hoodie;"Getting chilly before class starts? Wear the Eos on your way to and from yoga for a cute and cozy warmup piece. Reach for its reliable comfort and enjoy a super-soft blend of fabrics finished in sporty style that includes a hidden kangaroo pocket.
Semi-fitted. Long-Sleeve. Machine wash/line dry.";1;54;Clothing>Women>Tops>Hoodies & Sweatshirts>Collections>Erin Recommends
1165;WH12;Circe Hooded Ice Fleece;1;This is a variable product called a Circe Hooded Ice Fleece;"Keep shivers at bay with the Circe Hooded Ice Fleece. Ultra-thick, high-pile fleece traps your body heat and keeps cold outside. The drawstring hood and ribbed details add extra coziness and touches of classic style. Its relaxed fit is loose enough to layer comfortably over your shirt.
Full-zip front. Three-panel hood. Flatlock seams throughout. Welt hand pockets. Machine wash/dry.";1;68;Clothing>Women>Tops>Hoodies & Sweatshirts>Collections>Performance Fabrics
1175;WJ01;Stellar Solar Jacket;1;This is a variable product called a Stellar Solar Jacket;"Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.
 Loose fit.  Reflectivity.  Flat seams.  Machine wash/dry. Deep pink jacket with front panel rouching";1;75;Clothing>Women>Tops>Jackets>Collections>New Luma Yoga Collection>Collections>Erin Recommends
1191;WJ02;Josie Yoga Jacket;1;This is a variable product called a Josie Yoga Jacket;"When your near future includes yoga, the cozy comfort of the Josie Yoga Jacket gets your mind and body ready. Stretchy CoolTech fabric with zipper pockets makes this jacket the right gear for studio time or teatime after.
 Slate rouched neck pullover. Moisture-wicking fabric. Hidden zipper. Mesh armpit venting. Dropped rear hem.";1;56;Clothing>Women>Tops>Jackets>Promotions>Women Sale
1207;WJ03;Augusta Pullover Jacket;1;This is a variable product called a Augusta Pullover Jacket;"It's hard to be uncomfortable in the Augusta Pullover Jacket with  zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.
 Pink half-zip pullover.  Front pouch pockets.  Fold-down collar.";1;57;Clothing>Women>Tops>Jackets
1223;WJ04;Ingrid Running Jacket;1;This is a variable product called a Ingrid Running Jacket;The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in.  Slim fit.  Moisture-wicking fabric.  Two side pockets.  Zippered pocket at back waist.  Machine wash/dry. Ivory specked full zip;1;84;Clothing>Women>Tops>Jackets>Collections>New Luma Yoga Collection>Collections>Performance Fabrics
1239;WJ05;Riona Full Zip Jacket;1;This is a variable product called a Riona Full Zip Jacket;"The Riona Basic Zip Jacket makes the perfect extra layer for cold-weather workouts. It features amazing breathability and moisture management, but full-length zipper lets you moderate your core temperature even more.
 Brown heather full zip rouched jacket. Side hand pockets for extra storage. High collar. Thick cuffs for extra coverage. Durable, shape retention material to longer wear.";1;60;Clothing>Women>Tops>Jackets
1255;WJ07;Inez Full Zip Jacket;1;This is a variable product called a Inez Full Zip Jacket;"The Inez Full Zip jacket is more than a cute layer. It's a full-on tech wonder you'll use for outdoor, pre and post workout. You'll love how the highlighted zipper and sleeve safety trim protect and catch looks.
 Purple heather inset full zip jacket. Full zip hoodie. Contrast binding along the zipper, hood and sleeves. Inseam pockets for storage. Thumbholes for comfortable fit.";1;59;Clothing>Women>Tops>Jackets
1271;WJ08;Adrienne Trek Jacket;1;This is a variable product called a Adrienne Trek Jacket;"You're ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.
 gray 1/4 zip pullover. Comfortable, relaxed fit. Front zip for venting. Spacious, kangaroo pockets. 27"" body length. 95% Organic Cotton / 5% Spandex.";1;57;Clothing>Women>Tops>Jackets>Promotions>Women Sale>Collections>Erin Recommends
1287;WJ09;Jade Yoga Jacket;1;This is a variable product called a Jade Yoga Jacket;"If only all your other jackets were as comfortable as the relaxed-fit Jade Yoga Jacket, perfect for use during stretching, biking to and from studio or strolling on breezy fall days.
 Seafoam 1/4 zip pullover with purple stitching. Lightweight, quick-drying, water-resistant construction. Shirred details at front and back for a feminine look. Hood collapses into collar. Mesh liner for breathability. Front zip pockets. Hem cinches at sideseam. 100% Polyester.";1;32;Clothing>Women>Tops>Jackets>Collections>Erin Recommends
1303;WJ10;Nadia Elements Shell;1;This is a variable product called a Nadia Elements Shell;"Protect yourself from wind and rain in the stylish Nadia Elements Shell. It repels water using hydro-resistant fabric, with fleece lining that adds a touch of warmth. It's finished with bold contrast zippers, adjustable cuffs and a hood.
 Zippered front.  Zippered side pockets.  Drawstring-adjustable waist and hood.  Machine wash/line dry. Light blue 1/4 zip pullover.";1;69;Clothing>Women>Tops>Jackets>Collections>New Luma Yoga Collection>Collections>Performance Fabrics
1319;WJ11;Neve Studio Dance Jacket;1;This is a variable product called a Neve Studio Dance Jacket;"If you're constantly on the move, the Neve Studio Dance Jacket is for you. It's not just for dance, either, with a tight fit that works as a mid-layer. The reversible design makes it even more versatile.
 Bright blue 1/4 zip pullover. CoolTech liner is sweat-wicking. Sleeve thumbholes. Zipper garage to protect your chin. Stretchy collar drawcords.";1;69;Clothing>Women>Tops>Jackets>Collections>New Luma Yoga Collection
1335;WJ06;Juno Jacket;1;This is a variable product called a Juno Jacket;"On colder-than-comfortable mornings, you'll love warming up in the Juno All-Ways Performanc Jacket, designed to compete with wind and chill. Built-in Cocona technology aids evaporation, while a special zip placket and stand-up collar keep your neck protected.
 Adjustable hood. Fleece-lined, zippered hand pockets. Thumbhole cuffs. Full zip. Mock-neck collar. Machine wash/dry.";1;77;Clothing>Women>Tops>Jackets>Promotions>Women Sale>Collections>Performance Fabrics
1351;WJ12;Olivia 1/4 Zip Light Jacket;1;This is a variable product called a Olivia 1/4 Zip Light Jacket;"Running errands or headed to the gym, you just want to be comfortable. The Olivia Light Jacket promises that, plus a laid-back look. This zip-up is designed with shoulder stripes for an athletic touch, and banded waist and contoured seams for a flattering silhouette.
 Loose fit. Reflectivity. Flat seams. Machine wash/dry.";1;77;Clothing>Women>Tops>Jackets>Promotions>Women Sale>Collections>Performance Fabrics
1367;WS02;Gabrielle Micro Sleeve Top;1;This is a variable product called a Gabrielle Micro Sleeve Top;"Luma's most popular top, the Gabrielle Micro Sleeve is back with even more comfort and style.
 Lime green v-neck tee. Slimming, flattering fit. Moisture-wicking, quick-drying, anti-microbial, and anti-odor construction. Longer curved hem provides additional coverage. 55% Hemp / 45% Organic Cotton.";1;28;Clothing>Women>Tops>Tees>Promotions>Tees>Collections>New Luma Yoga Collection
1383;WS03;Iris Workout Top;1;This is a variable product called a Iris Workout Top;"The Iris Workout Top is sleeveless, body fitting and moisture wicking for a fashionable, functional garment. Rouched textures add style.
 Pink heather rouched v-neck. Scoop neckline. Angled flat seams. Moisture wicking. Body skimming. 83% Polyester / 11% TENCEL Lyocell / 6% Lycra Spandex.";1;29;Clothing>Women>Tops>Tees>Promotions>Tees>Collections>Performance Fabrics
1399;WS04;Layla Tee;1;This is a variable product called a Layla Tee;"Work out or hang out in chic style in the Layla Tee. With a lightweight sheer design and a roomy neckline, this tee fits you comfortably while looking stylish.
 Teal tee. Long back hem. Dropped shoulders.";1;29;Clothing>Women>Tops>Tees>Promotions>Tees>Collections>New Luma Yoga Collection>Collections>Eco Friendly
1415;WS06;Elisa EverCool Tee;1;This is a variable product called a Elisa EverCool Tee;"When rising temps threaten to melt you down, Elisa EverCool Tee brings serious relief. Moisture-wicking fabric pulls sweat away from your skin, while the innovative seams hug your muscles to enhance your range of motion.
 Purple heather v-neck tee. Short-Sleeves. Luma EverCool fabric.  Machine wash/line dry.";1;29;Clothing>Women>Tops>Tees>Promotions>Tees>Collections>New Luma Yoga Collection>Collections>Eco Friendly
1431;WS07;Juliana Short-Sleeve Tee;1;This is a variable product called a Juliana Short-Sleeve Tee;"The Juliana Short-Sleeve Tee gives you more than sporty style. Consider that its soft Cocona polyester fabric accelerates evaporation to help keep you dry and comfortable, too. And a selection of colors lets you get more than one.
 Black scoop neck tee. Side rouching. Relaxed fit.";1;42;Clothing>Women>Tops>Tees>Promotions>Tees>Collections>New Luma Yoga Collection>Collections>Erin Recommends
1447;WS08;Minerva LumaTech V-Tee;1;This is a variable product called a Minerva LumaTech V-Tee;"Don't be fooled by the simple design of our Minerva LumaTech V-Neck Tee. This classic training top features the same serious sweat-wicking technology as some of the more expensive tees in our lineup.
 Navy blue heather soft v-neck tee. Flatlock seams for chafe-free comfort. Relaxed cut. Ultra-lightweight fabric. Machine wash/dry.";1;32;Clothing>Women>Tops>Tees>Promotions>Tees>Promotions>Women Sale
1463;WS09;Tiffany Fitness Tee;1;This is a variable product called a Tiffany Fitness Tee;"You'll work out and look cute doing it in the short-sleeve Tiffany Fitness Tee. The longer length and fitted cut offer a smoother silhouette, while scoop neck pattern and drape effects lend a trendy touch.
 Teal soft scoop neck tee. Contrast stitching pattern.  Machine wash/dry.";1;28;Clothing>Women>Tops>Tees>Promotions>Tees>Promotions>Women Sale>Collections>Eco Friendly
1479;WS10;Karissa V-Neck Tee;1;This is a variable product called a Karissa V-Neck Tee;"The Karissa V-Neck Tee features a semi-fitted shape that's flattering for every figure. You can hit the gym with confidence while it hugs curves and hides common ""problem"" areas.
 Pink heather soft v-neck tee.  Luma signature micro sleeves. Semi-fitted.  Machine wash/dry.";1;32;Clothing>Women>Tops>Tees>Promotions>Tees>Collections>Performance Fabrics
1495;WS11;Diva Gym Tee;1;This is a variable product called a Diva Gym Tee;"The Diva Gym Tee feels like your favorite right out of the mailbox. Micro-sleeved, lightweight and extra comfortable, it's a casual staple that hides incredible comfort behind a laid-back, carefree look.
 Bright yellow v-neck tee. Moisture-wicking fabric.  Long-Sleeves.  Machine wash/line dry.";1;32;Clothing>Women>Tops>Tees>Promotions>Tees>Promotions>Women Sale>Collections>Erin Recommends
1511;WS12;Radiant Tee;1;This is a variable product called a Radiant Tee;"So light and comfy, you'll love the Radiant Tee's organic fabric, feel, performance and style. You may never want to stop moving in this shirt.
 Salmon soft scoop neck tee. Athletic, semi-form fit. Flat seams prevent chafing. 67% Organic Cotton / 28% Hemp / 5% Spandex.";1;22;Clothing>Women>Tops>Tees>Promotions>Tees>Collections>Performance Fabrics
1527;WS01;Gwyn Endurance Tee;1;This is a variable product called a Gwyn Endurance Tee;"When the miles add up, comfort is crucial. The short-sleeve Gwyn Endurance Tee is designed with an ultra-lightweight blend of breathable fabrics to help you tackle your training. Female-specific seams and a sporty v-neckline offer subtle style.
 Short-Sleeves. Machine wash/line dry.";1;24;Clothing>Women>Tops>Tees>Promotions>Tees
1543;WS05;Desiree Fitness Tee;1;This is a variable product called a Desiree Fitness Tee;"When you're too far to turn back, thank yourself for choosing the Desiree Fitness Tee. Its ultra-lightweight, ultra-breathable fabric wicks sweat away from your body and helps keeps you cool for the distance.
 Short-Sleeves. Performance fabric. Machine wash/line dry.";1;24;Clothing>Women>Tops>Tees>Promotions>Tees
1559;WB01;Electra Bra Top;1;This is a variable product called a Electra Bra Top;"A heavenly soft and stylish eco garment, the Electra Bra Top is perfect for wearing on its own as a hot yoga top or layered under a tank.
 Gray rouched bra top. Attractive back straps feature contrasting motif fabric. Interior bra top is lined with breathable mesh. Elastic underband for superior support. Removable cup inserts. Chafe-free flat lock seams provide added comfort.";1;39;Clothing>Women>Tops>Bras & Tanks>Promotions>Women Sale>Collections>Eco Friendly
1575;WB02;Erica Evercool Sports Bra;1;This is a variable product called a Erica Evercool Sports Bra;"Perfect for medium-impact workouts, our Erica EverCool Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.
 Honeycomb light blue bra top. Elastic hem. Reinforced binding.  Machine wash/dry.";1;39;Clothing>Women>Tops>Bras & Tanks
1591;WB03;Celeste Sports Bra;1;This is a variable product called a Celeste Sports Bra;"Whatever your goals for the day's workout, the Celeste Sports Bra lets you do it in comfort and coolness, plus enhanced support and shaping. A power mesh back zone and moisture-wicking fabric ensure you stay dry.
 Mint bra top.  Seam-free interior molded cups Odor control.  UV protection.  Machine wash/dry.";1;39;Clothing>Women>Tops>Bras & Tanks>Collections>New Luma Yoga Collection>Collections>Performance Fabrics
1607;WB04;Prima Compete Bra Top;1;This is a variable product called a Prima Compete Bra Top;Pull on the Prima Compete Bra Top and you'll love the fabric: soft, stretchy, and ultra lightweight. But you'll also love the racerback cut, for freer movement through all your athletic feats. ` Colorblocked details. Machine wash/line dry.;1;24;Clothing>Women>Tops>Bras & Tanks
1623;WB05;Lucia Cross-Fit Bra ;1;This is a variable product called a Lucia Cross-Fit Bra ;"Being cool is a big part of being comfy, which is why the Lucia Cross-Fit Bra features moisture-wicking technology as well as soft, lightweight fabric.
 Black/white bra top.  Criss-cross back design.  Machine wash/dry.";1;39;Clothing>Women>Tops>Bras & Tanks
1639;WT01;Bella Tank;1;This is a variable product called a Bella Tank;"Style, performance and comfort mix it up in the Bella Tank. With striking color block contrast, fitted form and a built-in bra, you'll be supported and stylish at the same time.
 Navy blue tank top - cotton. Feminine scoop neckline. Power mesh lining in shelf bra for superior support. Soft, breathable fabric. Dry wick fabric to stay cool and dry.";1;29;Clothing>Women>Tops>Bras & Tanks>Collections>Eco Friendly
1655;WT02;Zoe Tank;1;This is a variable product called a Zoe Tank;"The Zoe Tank leads with eye-catching fitness-pop looks, keeping your studio style uptrend. The inner shelf bra and soft, breathable fabric create a tank top that looks, feels and fits great.
 Salmon heather tank top. 1"" elastic band on inner bra. Mesh lining on shelf bra for support. Soft, breathable fabric. Dry wick fabric to stay cool and dry.";1;29;Clothing>Women>Tops>Bras & Tanks
1671;WT03;Nora Practice Tank;1;This is a variable product called a Nora Practice Tank;"A closet go-to, the Nora Practice Tank can be worn at or after workouts or beneath a baggy tee for a laid-back style. Perfect fit and very comfortable!
 Pink stripped tank with side rouching. Pre-shrunk. Garment dyed. 92% Organic Cotton/8% Lycra.";1;39;Clothing>Women>Tops>Bras & Tanks>Collections>New Luma Yoga Collection>Collections>Erin Recommends
1687;WT04;Nona Fitness Tank;1;This is a variable product called a Nona Fitness Tank;"It doesn't matter if your goal is 5 miles or an hour of Vinyasa, because our Nona Fitness Tank does it all. You don't have to sacrifice either -- this v-neck top features smooth, chafe-free seams and a breathable mesh back insert. Cute, too.
 Blue/white striped mesh tank. Relaxed fit.  Chafe-resistant trim around armholes and collar.  Machine wash/dry.";1;39;Clothing>Women>Tops>Bras & Tanks>Collections>Performance Fabrics
1703;WT05;Leah Yoga Top;1;This is a variable product called a Leah Yoga Top;"The Leah Yoga Top offers a practical, comfortable upper that will not compromise your style. Body hugging fit and interior shelf bra make it suitable for active or leisure pursuits.
 Blue heather rouched tank top. Camisole tank top. Banding and shirring details. Body hugging fit. Contrast topstitch. Interior shelf bra with shapewear technology. 65% Polyester 35% Cotton.";1;39;Clothing>Women>Tops>Bras & Tanks>Collections>Erin Recommends
1719;WT06;Chloe Compete Tank;1;This is a variable product called a Chloe Compete Tank;"You've earned your figure, so stay cool and let it do all the talking in the form-fitted, sleek racerback Chloe Compete Tank. Designed for total range of motion and performance, the Nona is made with highly breathable mesh fabric.
 Royal blue tank top - nylon/spandex. Flatlock stitching. Moisture-wicking fabric.  Ergonomic seaming.  Machine wash/dry.";1;39;Clothing>Women>Tops>Bras & Tanks
1735;WT07;Maya Tunic;1;This is a variable product called a Maya Tunic;"With abutted seams and moisture wicking capacity, the Maya Tunic lets you work out in complete comfort.
 Mint green heather tunic-style tank.  Wrapped back with cut out detail. Drawcord detail at end. Abutted seams.";1;29;Clothing>Women>Tops>Bras & Tanks>Collections>Performance Fabrics
1751;WT08;Antonia Racer Tank;1;This is a variable product called a Antonia Racer Tank;"You won't know what you like best about the Antonia Racer Tank: soft, stretchy, lightweight fabric? Super-cute colorblocked details? Whatever it is, this piece is sure to quickly move to the top of your workout rotation.
 Machine wash. Line dry.";1;34;Clothing>Women>Tops>Bras & Tanks>Promotions>Women Sale>Collections>Performance Fabrics
1767;WT09;Breathe-Easy Tank;1;This is a variable product called a Breathe-Easy Tank;"The Breathe Easy Tank is so soft, lightweight, and comfortable, you won't even know it's there -- until its high-tech Cocona fabric starts wicking sweat away from your body to help you stay dry and focused. Layer it over your favorite sports bra and get moving.
 Machine wash/dry. Cocona fabric.";1;34;Clothing>Women>Tops>Bras & Tanks>Promotions>Women Sale>Collections>Erin Recommends
1774;WP01;Karmen Yoga Pant;1;This is a variable product called a Karmen Yoga Pant;"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.
 Light blue parachute pants. Power mesh internal waistband for support. Internal waistband pocket. Antimicrobial finish.";1;39;Clothing>Women>Bottoms>Pants>Promotions>Pants>Collections>Performance Fabrics
1781;WP02;Emma Leggings;1;This is a variable product called a Emma Leggings;"These comfortable and practical leggings pair perfectly with any workout top or casual tee. The Emma's subtle contrast fabric and fit ensure you're stylish without overdoing it.
 Light blue heather yoga pants.  Body hugging fit. Low rise fit.";1;42;Clothing>Women>Bottoms>Pants>Promotions>Pants>Collections>Performance Fabrics
1788;WP03;Ida Workout Parachute Pant;1;This is a variable product called a Ida Workout Parachute Pant;"The Ida Workout Parachute Pant is made of lightweight, super-soft fabric that keeps you comfortable during any level of activity, whether Downward Dog or a few trail miles.
 Royal blue parachute pants. Contrast stripe. Relaxed fit.  Drawstring closure. Machine wash/dry.";1;48;Clothing>Women>Bottoms>Pants>Promotions>Pants>Collections>New Luma Yoga Collection
1795;WP04;Cora Parachute Pant;1;This is a variable product called a Cora Parachute Pant;"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.
 Light blue parachute pants. Power mesh internal waistband for support. Internal waistband pocket. Antimicrobial finish.";1;75;Clothing>Women>Bottoms>Pants>Promotions>Pants
1802;WP05;Sahara Leggings;1;This is a variable product called a Sahara Leggings;"Contrast colors, full-length leggings, and opaque, high-stretch fabric define the Sahara. Flat-locked seams and quick-drying wicking properties prevent chafing. A deep elasticated waistband and carefully positioned seamlines create a flattering silhouette.
 Pinstripe legging with rouched ankles. Secret pocket at waistband. Flat seams for comfort. Shaped fit with low rise. 4-way stretch, moisture-wicking material.";1;75;Clothing>Women>Bottoms>Pants>Promotions>Pants>Collections>Erin Recommends
1809;WP06;Diana Tights;1;This is a variable product called a Diana Tights;"Perfect for hot bikram session or cool-down stretching. 8-percent stretch means you'll feel like anything is possible in the capri-style Diana Tights.
 Black legging with slate details. Flat-lock, chafe-free side seams. Vented gusset. Secret interior pocket. Sustainable and recycled fabric.";1;59;Clothing>Women>Bottoms>Pants>Promotions>Pants>Collections>Erin Recommends
1816;WP07;Aeon Capri;1;This is a variable product called a Aeon Capri;"Reach for the stars and beyond in these Aeon Capri pant. With a soft, comfortable feel and moisture wicking fabric, these duo-tone leggings are easy to wear -- and wear attractively.
 Black capris with teal accents. Thick, 3"" flattering waistband. Media pocket on inner waistband. Dry wick finish for ultimate comfort and dryness.";1;48;Clothing>Women>Bottoms>Pants>Promotions>Pants>Collections>Performance Fabrics
1823;WP08;Bardot Capri;1;This is a variable product called a Bardot Capri;"Black is back  was it ever gone?  which means all your favorite tops will get along with the comfortable and versatile Bardot Capri.
 Black capris with pink waistband. Cropped leggings. Waistband drawcord.  Flat, thin and flattering. Made with organic fabric.";1;48;Clothing>Women>Bottoms>Pants>Promotions>Pants
1830;WP09;Carina Basic Capri;1;This is a variable product called a Carina Basic Capri;"Perfect as workout pants or ""accessory,"" the Carina Basic Capri is comfy as it is practical -- try it under skirts or shorts.
 Black capris with rouching detail. 93% cotton, 7% spandex. Elasticized waistband. Reinforced seams with exposed topstitching. Soft, medium-weight jersey with added stretch.";1;51;Clothing>Women>Bottoms>Pants>Promotions>Pants
1837;WP10;Daria Bikram Pant;1;This is a variable product called a Daria Bikram Pant;"The Daria Bikram Pant is designed to stretch and move with your body to make extreme yoga extremely comfortable.
 Heather gray capris with pink striped waist. Flatlock seams. Interior pocket.";1;51;Clothing>Women>Bottoms>Pants>Promotions>Pants>Collections>Eco Friendly
1844;WP11;Sylvia Capri;1;This is a variable product called a Sylvia Capri;"Enjoy a sleek, slendering look in new Silvia Capri. Its engineer-designed support fabric feels great and gives the illusion of a slimmer fit.
 Green striped capri. Strategic side seam Comfort gusset with lining. Flat seaming. Wide waistband. Moisture wicking.";1;42;Clothing>Women>Bottoms>Pants>Promotions>Pants
1851;WP12;Deirdre Relaxed-Fit Capri;1;This is a variable product called a Deirdre Relaxed-Fit Capri;"Invigorate your yoga practice with this Deirdre Relaxed-Fit Capri, designed to let you move without strain or restriction.
 Heather gray capris with mint green waist  accents. Comfortable, relaxed fit with high rise. Moisture-wicking, 4-way stretch construction. Lined with mesh for better support. Hidden pocket at waistband. Flatlock seams and lined gusset for comfort.";1;63;Clothing>Women>Bottoms>Pants>Promotions>Pants>Collections>Performance Fabrics
